id,title,label
"atives to Pesticides factsheet on Naled"""" CloudFront.net [35] """"EPA: Insecticide Used To Fight Zika Is Safe"""" Miami.CBSLocal.com [36] """"Zika Virus: Miami-Dade County plans to spray naled in Wynwood Friday"""" Aug 11"," 2016 MiamiHerald.com [37] """"Zika and Guillain-Barre Syndrome",FAKE
Does shutting down down the Federal Reserve and restoring the power to issue U.S. currency to the U.S. Congress solve this problem, if so why do we not do that? Is there any real practical problem with that,FAKE
Finally, watch the making of the naked Trump statues that were placed in New York,REAL
I almost posted this until you mentioned the Harvard Student’s article, which was taken totally out of context. Great article until the very end when you very sneakily try to place all of the blame on liberals when we all know the the real villains completely control both parties,FAKE
4045,"""America has a simple ideology"": how one of Russia's top US experts explains America",REAL
3041,"""Political identity is fair game for hatred"": how Republicans and Democrats discriminate",REAL
5300,"""Russia is concentrating"" 2.0: Putin's new policy of ""active defense""",FAKE
8438,"""Top Five Clinton Donors Are Jewish"" - How Anti-Semitic Is This Fact?",FAKE
8024,#2816: Clinton Pride’s 8(a) Pig Farm Bridge – Serco Zulu Server Snuff –Soros's Patented Voter Key,FAKE
83,#BlackLivesMatter: Why movement is its own worst enemy,REAL
6132,#BoycottComedian…ROBERT DENIRO Wanted “To Punch Trump In The Face”…Supports Anti-Trump Rioters…Now Wants Americans To Support His New Movie [VIDEO],FAKE
6404,#BREAKING: SECOND Assassination Attempt On Trump In NV; Suspect Detained (LIVE BLOG),FAKE
9827,#DraftOurDaughters: Pro-War Hillary Faces Backlash Over Female Draft,FAKE
6429,#InNorthDakota ~~ PALESTINIANS STAND WITH THE SIOUX,FAKE
2347,#MemeOfTheWeek: That Article From The Onion About Mass Shootings,REAL
1709,"#MemeOfTheWeek: The Strange, Sad Case Of #FeelTheChafe",REAL
5175,"#MemeOfTheWeek: Trump Asked 'The Gays,' And Got Answers",REAL
5841,#muschniwogdowis of the day: business as usual.,FAKE
5266,#NeverTrump Goes Down in Flames in Final Attempt to Stop The Donald,REAL
7738,#NoDAPL Spills Over: Musicians Boycott Dakota Access Pipeline CEO’s Record Label & Festival,FAKE
9712,#NoDAPL: Angry Man Fires 7 Shots Into Air Near Standing Rock Water Protectors,FAKE
6883,#Podesta21: Clinton’s ‘Twisted’ Behavior ‘Smacks of Acting Above the Law’,FAKE
7264,(((Smithsonian))) Refuses to Include Judge in Black Museum Because He has Normal People Opinions,FAKE
7502,(The Onion) Strongside/Weakside: Theo Epstein,FAKE
8043,*Breaking: Huma Abedin Thrown Off Hillary’s Campaign Plane!,FAKE
9694,:,FAKE
3859,"@POTUS joins Twitter, jokes with @BillClinton",REAL
9682,[WATCH] Hillary Appears Belligerently Drunk in Troubling New Video,FAKE
9936,[WATCH] Hillary Clinton’s “Crazy Eyes” Surface AGAIN!,FAKE
7602,"[WATCH] Univ Of Alabama Students Try To Protest National Anthem, Then A Veteran Shows Up",FAKE
6010,| Man whose son was killed by illegal immigrant files two suits against feds,FAKE
1209,1 in 5 Americans say Hillary Clinton is “dishonest” or a “liar.” Here’s why that’s a big problem.,REAL
7697,10 Last Minute Preps When A Disruptive Event Is Brewing,FAKE
167,10 members of Congress took trip secretly funded by foreign government,REAL
4774,10 things Trump could (but probably won't) change to win next debate,REAL
9246,10 tips to improve your life #117,FAKE
7623,10 Ways America Is Preparing for World War 3,FAKE
5343,10 Ways Russia is Preparing For World War 3,FAKE
4057,"100 Years Ago, 1.5 Million Armenians Were Systematically Killed. Today, It's Still Not A 'Genocide.'",REAL
1809,"100,000 people have come to recent Bernie Sanders rallies. How does he do it?",REAL
248,11 Benghazi takeaways: One for each hour,REAL
363,11 service members in Black Hawk crash presumed dead,REAL
7162,11 Stupid Things Vox.com's Matthew Yglesias Has Said | Daily Wire,FAKE
6610,11 Things To Let Go Of Before The New Year,FAKE
5420,12 and 63-minute videos: Donald Trump connects to false flag targeting Muslims. Did you really think our ‘masters’ offer anything other than false choice between Left and Right arms of a .01% US rogue state?,FAKE
6799,13 Year Old Girl’s Rousing Speech: “If Donald Trump Had A Brick For Every Lie Hillary Has Told He Could Build Two Walls”,FAKE
7081,"130,000 Americans demand to forbid Soros manipulate elections",FAKE
7381,14 Days and Counting-There Will Be a Civil War No Matter Who Wins the Election,FAKE
7811,"14 Days to Do 14 Things, If Hillary’s Indicted-Extreme Violence Expected",FAKE
3952,14 dead as Islamic rebels attack in Philippines,REAL
1549,14 key moments from the Democratic debate,REAL
7246,15 Civilians Killed In Single US Airstrike Have Been Identified,FAKE
9917,15 Foods That Contain the Most Vitamin E | Alternative,FAKE
5820,15 Secret iPhone Codes And Tricks,FAKE
2315,16 Times The Obama Administration Lied About The President's Position On Same-Sex Marriage,REAL
2248,17 biblical rules for marriage the Kim Davis set chooses to ignore,REAL
10055,17 Shot Dead As Chicago Records Deadliest Weekend Of 2016,FAKE
7597,18 State Swat Team Drill In Prep for Backlash Against a Stolen Election,FAKE
10241,18 State Swat Team Drill In Prep for Backlash Against a Stolen Election,FAKE
2462,"2 deaths possibly linked to 'superbug' at UCLA hospital after 7 infected, 179 exposed",REAL
3562,2 gunmen killed following deadly Tunisian museum attack that left 21 dead,REAL
3986,"2 killed, 8 terror suspects held in France terror raid",REAL
9056,"2 Reminders to Ignore the ""Trump is Doomed"" Polls",FAKE
8824,2:00PM Election Day Water Cooler 11/8/2016,FAKE
8162,2:00PM Water Cooler 11/1/2016,FAKE
6450,2:00PM Water Cooler 11/4/2016,FAKE
7756,20 Before and After Photos That Reveal The Effects Of Giving Up Alcohol,FAKE
9778,20 Foods That Naturally Unclog Arteries and Prevent Heart Attacks,FAKE
8939,2006 Audio Captures Hillary Clinton Proposing To Rig Palestine Election,FAKE
4618,2006 Audio Emerges of Hillary Clinton Proposing Rigging Palestine Election,REAL
8751,2009 FLASHBACK: “What If” Remixed,FAKE
3647,2015: It's time to fire the IRS,REAL
5181,2016 campaign takes strange twists after Orlando,REAL
2040,2016 cash race: It's on,REAL
6365,2016 Election Night Live Blog/Open Thread,FAKE
9016,"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?)",FAKE
9368,2016 latest: Spirit of Christmas to be replaced with ‘Every man for himself’. More soon.,FAKE
340,2016 Race Collides With Baltimore Unrest,REAL
1641,"2016 Republican race enters a new, volatile phase",REAL
5946,2016 Tribute to our Troops: veterans who continue to serve,FAKE
3013,2016: The year conventional political wisdom was turned upside down,REAL
2760,2016ers hail release of U.S. prisoners held by Iran as Republicans slam Obama policy,REAL
1510,2016's first GOP debate: Six things to look for in Charleston,REAL
9331,2017 Stock Market Crash? Eric Dubin on Markets and the Election Shocker,FAKE
3981,21 dead at Radison Blu hotel in Mali,REAL
7874,21 Things We’ve Learned About Hillary Clinton from Wikileaks That the MSM Won’t Share…But YOU Can!,FAKE
8262,21 Things We’ve Learned About Hillary Clinton From Wikileaks That The MSM Won’t Share…But YOU Can!,FAKE
10097,21 THINGS WE’VE LEARNED ABOUT HILLARY CLINTON FROM WIKILEAKS THAT THE MSM WON’T SHARE…BUT YOU CAN!,FAKE
7793,220 ‘Significant’ Pipeline Spills Already This Year Exposes Troubling Safety Record,FAKE
7696,23 Things to Do to Improve Your Mental Health,FAKE
6422,"250,000-year-old artifact: The ultimate evidence of ‘Ancient Astronaut’ technology?",FAKE
6743,26 WikiLeaks bombshells on Hillary you need to know,FAKE
5769,27 Civilians Killed in Saudi Airstrikes Against Yemen Villages,FAKE
8694,27 Photos That Prove The Earth Is in Serious Danger & It’s Time To Be Worried Now,FAKE
9970,28 Alternative Uses for Life Saving Mylar Emergency Blankets,FAKE
7955,29 of Hillary's scandals: The early years,FAKE
323,2nd New York prison worker charged in killers' escape,REAL
10497,3 Charlotte Area Counties Report Voting Machines Picking Wrong Candidates,FAKE
3682,3 dead in Colorado Springs Planned Parenthood shooting,REAL
5937,"3 Effects of Substance Abuse on Individual, Family and Community",FAKE
4836,3 explanations for why Donald Trump is suddenly doing better in the polls,REAL
3791,3 Members Of Muslim Family Shot Dead In Chapel Hill,REAL
5739,3 More Emotions Men Should Master,FAKE
8377,3 Philadelphia prison guards arrested for alleged assault on handcuffed inmate,FAKE
1475,3 Questions Ahead Of Tonight's Democratic Debate,REAL
3658,"3 reasons Americans die sooner than people in other developed nations: guns, drugs, cars",REAL
444,3 reasons the economy boomed in 2015,REAL
3175,3 winners and 2 losers from Saturday night's Republican debate,REAL
1434,3 winners and 2 losers from Sunday night's Democratic presidential debate,REAL
6112,3 Year Old Son of Singer Michael Bublé Diagnosed With Cancer,FAKE
8768,30 Civilians Die In US Airstrike Called ‘To Protect US and Afghan troops’,FAKE
7670,300 US Marines Deployed To Norway Near Russian Border For First Time Since World War II,FAKE
9280,300 US Marines To Be Deployed To Russian Border In Norway,FAKE
10499,30th Infantry Division: “Work Horse of the Western Front” ~ 1951 US Army; The Big Picture TV-211,FAKE
4523,"32,000 emails recovered in IRS targeting probe amid allegations agency chief may have lied",REAL
6367,370 Economists Sign Letter Urging America Not To Vote For Donald Trump,FAKE
8530,4 Motivation-Zapping Thoughts To Identify and Eliminate,FAKE
3677,4 students arrested for Calif. school shooting plot,REAL
1326,4 Things The New Hampshire Primary Will Tell Us,REAL
4798,4 Things To Watch At The First Presidential Debate,REAL
9370,4 Times As Many Americans Think Biased U.S. Media – Not Foreign Interests Such As Russian Hackers – Real Threat To Fair Election,FAKE
8762,4 Truly Important Items for Your Post-Election List of Things to Protest,FAKE
7024,43-Year-Old Can’t Get Over The Amount Of Kids In Local Night Club,FAKE
3664,49 killed in shooting at Florida nightclub in possible act of Islamic terror,REAL
3100,5 amazing ways Pope Francis made Republicans squirm yesterday,REAL
3089,5 facts about consistent conservatives,REAL
3802,5 key questions about shutting down Gitmo,REAL
7503,5 Key Revelations for Free Thinkers to Consider After Election 2016,FAKE
4733,5 Questions That Now Loom Over Tonight's Debate,REAL
1972,5 Reasons Cruz Announced His Candidacy Early,REAL
8791,5 Reasons to Try Acupuncture for Baby Eczema,FAKE
1307,5 takeaways from New Hampshire,REAL
4752,5 takeaways from the debate that didn’t matter,REAL
4786,5 takeaways from the first presidential debate,REAL
921,5 takeaways from the New York primary,REAL
1343,5 takeaways from the Republican debate,REAL
9339,5 Things Teachers Are Doing During Midterm That Isn’t A Massive Session,FAKE
5118,5 Things To Know About Mike Pence Before Tuesday's Debate,REAL
1644,5 things to watch in tonight’s debate,REAL
1508,5 things to watch in tonight’s GOP debate,REAL
1291,5 things to watch in tonight's debate,REAL
9105,5 Things You Need to Know About the Dakota Access Pipeline Protests,FAKE
4338,5 Things You Should Know About George Pataki,REAL
2739,5 worst right-wing moments of the week — Palin & Trump declare war on Bill O’Reilly,REAL
6789,5.0 Quake Near Oklahoma Oil Hub Causes Substantial Damage,FAKE
3511,6 detained in raids in Belgium,REAL
3432,6 Major Supreme Court Cases That Would Have Been Different Without Scalia,REAL
9305,6 Myths That Men Believe About Southeast Asia,FAKE
5966,6 Natural Herbs To Prevent Mental Disorders,FAKE
8175,6 Natural Herbs To Prevent Mental Disorders,FAKE
8035,"6 neo-Nazis arrested in Motorola assassination case, SBU plot exposed - Fort Russ",FAKE
8457,6 Places Voter Fraud Has Already Happened… But Don’t Worry,FAKE
1415,6 Questions Ahead Of The Trump-Fox Split-Screen 'Squirmish',REAL
946,6 Takeaways: Democrats tangle at debate in New York,REAL
9018,"60 Civilians Killed, 200 Injured As US-Led Airstrikes Hit a School In Iraq",FAKE
7484,"650,000 Emails Found On Anthony Weiner’s Laptop; DOJ Blocked Foundation Probe",FAKE
5732,7 Halloween Treats That Trick Children Into Cleaning,FAKE
9598,7 reasons I'll vote for Trump,FAKE
1720,7 takeaways from the first Democratic debate,REAL
4249,7 takeaways from the Republican debate,REAL
4594,7 things to watch for on election night,REAL
2623,7 Times Obama Failed to Support Israel,REAL
6917,7 Ways To Prepare For An Economic Crisis,FAKE
3541,"74 children executed by ISIS for 'crimes' that include refusal to fast, report says",REAL
7357,75% of Americans Think Biased U.S. Media – Not Foreign Interests Such As Russian Hackers – Real Threat To Fair Election - Russia News Now,FAKE
8217,76ers Send Clear Message Over Anthem Singer's Shirt: Keep Politics Off the Court & Just Do Your Job,FAKE
6264,780 Palestinian homes razed in occupied W Bank's Area C in 2016,FAKE
6841,8 classic football banners of our time,FAKE
8870,8 POINTS VANISH IN 4 DAYS,FAKE
9262,8 Terrifying Plants You Didn’t Know About,FAKE
156,8 Things Congress Actually Did This Year,REAL
8295,9/11 Firefighters Reveal Bombs Destroyed WTC lobby,FAKE
10358,90 Percent of So-Called Clean Hydroelectric Projects Will Usher In A New Wave of Mercury Contamination,FAKE
2392,9th baby dies after heart surgery at a Florida hospital,REAL
6752,"A ""Gesture of Thanks"": Turkey arrests terrorists for extradition to Russia",FAKE
7638,A 70-Year-Old Woman Gave Birth—And What You Should Know About It,FAKE
4267,A bad night for front-runners and a good night for governors,REAL
6876,A Barbaric Race Of Underground-Dwelling Giants Once Inhabited The Mount Shasta Region...,FAKE
7902,A Book Too Dangerous To Read,FAKE
487,A boss often can fire you while you're hospitalized,REAL
7363,A brutal spoof advert for the new Macbook that highlights everything it doesn’t have,FAKE
2432,A Case Study On Why The Obamacare Lawsuit Is Based On Mythical History,REAL
10361,A Christmas Story / There Is No Better Purpose Than To Serve Others.,FAKE
4227,A close Wisconsin primary could spell future trouble for Clinton,REAL
9702,A collection of thoughts about American foreign policy,FAKE
630,A Combative Donald Trump Shows Up at Tampa and Pittsburgh Rallies,REAL
4809,A Complete Guide To Early And Absentee Voting,REAL
8022,A Coup Taking Place in the United States,FAKE
5319,A Digital 9/11 If Trump Wins,FAKE
9467,"A Fifth Clinton Presidency? Hill, No!",FAKE
2692,A Golden Rule for journalists: Objectivity is a myth but fairness is a must,REAL
4477,"A GOP Weekend, Courtesy Of The Koch Network And Citizens United",REAL
7183,A Greek Donbass? Cyprus between Russia and NATO,FAKE
9102,A guide to the Paradoxroutine,FAKE
433,A harsh blow to small businesses: Opposing view,REAL
7627,A Hillary Win Will Be Google’s Win of Everything,FAKE
3418,A Hindu Justice? Why Religion Matters for the High Court,REAL
7531,A lawyer explains how Ariel could have got out of her contract with Ursula in The Little Mermaid,FAKE
